Region,SbWtrshd,Site_ID,Date,Site_Visit,O,H,Opm,Hpm,P(18O),P(2H),Ps(18O),Ps(2H),18O_snow,2H_snow,18O_rain,2H_rain
Parkland,05CD,195,27-Jul-15,5,-13.004156,-110.08024,-0.013,-0.11008024,-0.019241667,-0.1485,-0.013725,-0.106,-23.83333333,-183.765,-13.725,-101.58425
Parkland,05CD,301,07-May-15,1,-7.968856,-96.878368,-0.00797,-0.096878368,-0.019183333,-0.148333333,-0.0138,-0.10675,-23.83333333,-183.765,-13.8,-102.194
Parkland,05CD,301,19-May-15,2,-2.925723,-71.674903,-0.00293,-0.071674903,-0.019183333,-0.148333333,-0.0138,-0.10675,-23.83333333,-183.765,-13.8,-102.194
Parkland,05CD,377,04-May-15,1,-13.365713,-128.962133,-0.01337,-0.128962133,-0.019075,-0.147416667,-0.01355,-0.10475,-24.56666667,-189.727,-13.55,-100.1615
Parkland,05CD,377,20-May-15,2,-8.65773,-102.867822,-0.00866,-0.102867822,-0.019075,-0.147416667,-0.01355,-0.10475,-24.56666667,-189.727,-13.55,-100.1615
Parkland,05CD,395,07-May-15,1,-13.919783,-132.213812,-0.01392,-0.132213812,-0.019175,-0.148083333,-0.013775,-0.10625,-24.56666667,-189.727,-13.775,-101.99075
Parkland,05CD,395,19-May-15,2,-11.606265,-118.802747,-0.01161,-0.118802747,-0.019175,-0.148083333,-0.013775,-0.10625,-24.56666667,-189.727,-13.775,-101.99075
Parkland,05CD,395,17-Jun-15,3,-4.80027,-80.17741,-0.0048,-0.08017741,-0.019175,-0.148083333,-0.013775,-0.10625,-24.56666667,-189.727,-13.775,-101.99075
Parkland,05CD,Rum4,09-May-15,1,-13.9602,-126.91014,-0.01396,-0.12691014,-0.019116667,-0.147833333,-0.013675,-0.10625,-23.76666667,-183.223,-13.675,-101.17775
Parkland,05CD,Rum4,19-May-15,2,-11.429355,-116.661907,-0.01143,-0.116661907,-0.019116667,-0.147833333,-0.013675,-0.10625,-23.76666667,-183.223,-13.675,-101.17775
Parkland,05CD,Rum4,17-Jun-15,3,-7.749274,-95.102728,-0.00775,-0.095102728,-0.019116667,-0.147833333,-0.013675,-0.10625,-23.76666667,-183.223,-13.675,-101.17775
Parkland,05CD,Rum4,27-Jun-15,4,-7.183083,-96.342827,-0.00718,-0.096342827,-0.019116667,-0.147833333,-0.013675,-0.10625,-23.76666667,-183.223,-13.675,-101.17775
Parkland,05CD,Rum4,21-Jul-15,5,-11.6933,-104.465698,-0.01169,-0.104465698,-0.019116667,-0.147833333,-0.013675,-0.10625,-23.53333333,-181.326,-13.675,-101.17775
Parkland,05FA,31,03-May-15,1,-15.656514,-127.653592,-0.01566,-0.127653592,-0.01915,-0.147916667,-0.013575,-0.10475,-23.53333333,-181.326,-13.575,-100.36475
Parkland,05FA,31,14-May-15,2,-12.377581,-113.410272,-0.01238,-0.113410272,-0.01915,-0.147916667,-0.013575,-0.10475,-23.53333333,-181.326,-13.575,-100.36475
Parkland,05FA,32,03-May-15,1,-16.211912,-135.672237,-0.01621,-0.135672237,-0.019266667,-0.14875,-0.013775,-0.10625,-23.53333333,-181.326,-13.775,-101.99075
Parkland,05FA,32,21-May-15,2,-12.937603,-118.578289,-0.01294,-0.118578289,-0.019266667,-0.14875,-0.013775,-0.10625,-23.53333333,-181.326,-13.775,-101.99075
Parkland,05FA,56,06-May-15,1,-12.756613,-122.062877,-0.01276,-0.122062877,-0.019041667,-0.147166667,-0.013375,-0.1035,-24.23333333,-187.017,-13.375,-98.73875
Parkland,05FA,56,23-May-15,2,-8.288315,-99.937809,-0.00829,-0.099937809,-0.019041667,-0.147166667,-0.013375,-0.1035,-24.23333333,-187.017,-13.375,-98.73875
Parkland,05FA,190,02-May-15,1,-15.014973,-131.94827,-0.01501,-0.13194827,-0.0191,-0.147666667,-0.013425,-0.10375,-24.23333333,-187.017,-13.425,-99.14525
Parkland,05FA,190,21-May-15,2,-11.691495,-114.907073,-0.01169,-0.114907073,-0.0191,-0.147666667,-0.013425,-0.10375,-24.23333333,-187.017,-13.425,-99.14525
Parkland,05FA,190,14-Jun-15,3,-7.956338,-99.112596,-0.00796,-0.099112596,-0.0191,-0.147666667,-0.013425,-0.10375,-24.23333333,-187.017,-13.425,-99.14525
Parkland,05FA,190,27-Jun-15,4,-4.674817,-87.067512,-0.00467,-0.087067512,-0.0191,-0.147666667,-0.013425,-0.10375,-24.3,-187.559,-13.425,-99.14525
Parkland,05FA,190,01-Aug-15,5,-6.760944,-91.339874,-0.00676,-0.091339874,-0.0191,-0.147666667,-0.013425,-0.10375,-24.3,-187.559,-13.425,-99.14525
