"","Site_ID","Site_Visit","X","Region","SbWtrshd","Date","O","H","Opm","Hpm","P.18O.","P.2H.","Ps.18O.","Ps.2H.","met_station","rh","temp","EI","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","X2","per.rain"
"158","Gilbe-02",5,163,"Restored","","2015-07-21",-8.801303,-97.133728,-0.0088,-0.097133728,-0.0191,-0.147666667,-0.01355,-0.10475,"Stettler",0.65683871,291.333871,0.760386931,-0.000859401,-0.055356815,-0.007271047,-0.090204324,-0.023449743,-0.166022419,4.702382029,-55.75276614,-19.9394735,-149.515788,-25.5896663665771,51.1550676659499
"159","Grand-06",1,164,"Restored","","2015-05-05",-13.647199,-123.45265,-0.01365,-0.12345265,-0.019108333,-0.147583333,-0.013625,-0.10525,"Stettler",0.554548387,279.333871,0.285065439,0.007015062,-0.013206548,-0.004918569,-0.080015632,-0.038221929,-0.234950596,4.537614759,-61.51420854,-20.65460761,-155.2368609,NA,NA
"160","Grand-06",2,165,"Restored","","2015-05-26",-10.53871,-109.931044,-0.01054,-0.109931044,-0.019108333,-0.147583333,-0.013625,-0.10525,"Stettler",0.509774194,282.733871,0.470393541,0.010827251,0.001950744,-0.004217099,-0.079510574,-0.031689784,-0.203424523,4.420540709,-63.33854493,-20.48872161,-153.9097729,NA,NA
"161","Grand-06",3,166,"Restored","","2015-06-20",-8.644071,-99.290477,-0.00864,-0.099290477,-0.019108333,-0.147583333,-0.013625,-0.10525,"Stettler",0.58883871,287.5435484,0.698775457,0.003665278,-0.034589337,-0.005929365,-0.085917964,-0.025542231,-0.177021364,4.598853693,-59.55638109,-20.45086415,-153.6069132,NA,NA
"162","Grand-06",4,167,"Restored","","2015-06-24",-7.728022,-97.115177,-0.00773,-0.097115177,-0.019108333,-0.147583333,-0.013625,-0.10525,"Stettler",0.631322581,287.4274194,1.153822443,0.000800774,-0.046819465,-0.006720438,-0.087868435,-0.021780705,-0.170281528,5.207307976,-56.86268634,-23.9420193,-181.5361544,NA,NA
"163","Grand-06",5,168,"Restored","","2015-07-25",-6.953531,-89.667044,-0.00695,-0.089667044,-0.019108333,-0.147583333,-0.013625,-0.10525,"Stettler",0.671258065,291.2758065,1.5,-0.001736617,-0.059099685,-0.007586299,-0.09110126,-0.017218725,-0.143617758,5.253886485,-53.15253293,-22.99705842,-173.9764674,NA,NA
"164","Green-03",1,169,"Restored","","2015-05-04",-13.870916,-127.272246,-0.01387,-0.127272246,-0.0191,-0.147416667,-0.01355,-0.1045,"Stettler",0.562935484,279.0080645,0.319444017,0.006415581,-0.015362395,-0.005021324,-0.07980833,-0.038841277,-0.244673582,4.701455021,-62.06306485,-21.84692503,-164.7754002,NA,NA
"165","Green-03",2,170,"Restored","","2015-05-21",-10.445486,-110.492561,-0.01045,-0.110492561,-0.0191,-0.147416667,-0.01355,-0.1045,"Stettler",0.558709677,280.9467742,0.547690156,0.006598703,-0.01607699,-0.005029287,-0.080630486,-0.03108017,-0.208173645,4.734865632,-61.01321514,-21.74894113,-163.991529,NA,NA
"166","Green-03",3,171,"Restored","","2015-06-20",-5.29585,-86.122823,-0.0053,-0.086122823,-0.0191,-0.147416667,-0.01355,-0.1045,"Stettler",0.58883871,287.5435484,1.473035846,0.003741593,-0.033780107,-0.005881691,-0.085400625,-0.017719312,-0.149006502,5.063378549,-59.28691669,-23.594092,-178.752736,NA,NA
"167","Green-03",4,172,"Restored","","2015-06-25",-4.07612,-81.826257,-0.00408,-0.081826257,-0.0191,-0.147416667,-0.01355,-0.1045,"Stettler",0.637193548,287.5241935,1.5,0.000505736,-0.04764683,-0.006782856,-0.087639106,-0.011829531,-0.132915192,6.592519737,-54.92877647,-46.13121633,-359.0497306,NA,NA
"168","Green-03",5,173,"Restored","","2015-07-24",-9.044637,-97.359769,-0.00904,-0.097359769,-0.0191,-0.147416667,-0.01355,-0.1045,"Stettler",0.664645161,291.3725806,0.713598247,-0.001300982,-0.056897532,-0.007415064,-0.090290254,-0.023830435,-0.166580314,4.680088485,-55.0517691,-19.59442859,-146.7554287,NA,NA
"169","Heber-03",1,174,"Restored","","2015-05-05",-10.041561,-108.829453,-0.01004,-0.108829453,-0.019108333,-0.147666667,-0.013625,-0.10525,"Stettler",0.554548387,279.333871,0.587690375,0.007015062,-0.013206548,-0.004918569,-0.080057064,-0.030319434,-0.205538156,4.768806725,-60.95063348,-21.95802833,-165.6642267,-25.6808052062988,43.4743099827165
"170","Heber-03",2,175,"Restored","","2015-05-26",-4.786566,-82.268539,-0.00479,-0.082268539,-0.019108333,-0.147666667,-0.013625,-0.10525,"Stettler",0.509774194,282.733871,1.012376664,0.010827251,0.001950744,-0.004217099,-0.079555971,-0.020248305,-0.152645979,4.552726866,-60.46097731,-20.43962708,-153.5170167,-25.6808052062988,30.8795373896202
"171","Heber-03",3,176,"Restored","","2015-06-16",-3.032692,-72.817803,-0.00303,-0.072817803,-0.019108333,-0.147666667,-0.013625,-0.10525,"Stettler",0.542645161,287.05,1.442102582,0.007362848,-0.01796278,-0.00504315,-0.083539407,-0.014812793,-0.126460427,4.552623803,-59.02335288,-20.02199613,-150.1759691,-25.6808052062988,46.938458107653
"172","Heber-03",4,177,"Restored","","2015-06-24",-2.300105,-69.267176,-0.0023,-0.069267176,-0.019108333,-0.147666667,-0.013625,-0.10525,"Stettler",0.631322581,287.4274194,1.5,0.000800774,-0.046819465,-0.006720438,-0.087902383,-0.007407164,-0.101922387,6.394001488,-54.56097258,-40.19989563,-311.599165,-25.6808052062988,-120.432357484636
"173","Heber-03",5,178,"Restored","","2015-07-29",-4.114402,-74.070396,-0.00411,-0.074070396,-0.019108333,-0.147666667,-0.013625,-0.10525,"Stettler",0.696483871,290.3177419,1.5,-0.003021198,-0.063916223,-0.008023073,-0.091911493,-0.006523026,-0.094293372,8.380752897,-39.62550159,130.3351911,1052.681529,-25.6808052062988,1294.1151058478
"174","Hille-03",1,179,"Restored","","2015-05-04",-11.883551,-111.851241,-0.01188,-0.111851241,-0.0191,-0.147666667,-0.01355,-0.10475,"Stettler",0.562935484,279.0080645,0.338364825,0.006415581,-0.01563728,-0.005021324,-0.080071071,-0.034401614,-0.21278648,4.481705421,-58.6085806,-19.50052193,-146.0041754,-25.5679747263591,50.4864832428986
"175","Hille-03",2,180,"Restored","","2015-05-20",-9.941184,-103.774369,-0.00994,-0.103774369,-0.0191,-0.147666667,-0.01355,-0.10475,"Stettler",0.561451613,280.7758065,0.494778414,0.006385814,-0.017218889,-0.005074401,-0.080949661,-0.029920369,-0.194385581,4.535012028,-58.69634945,-19.82585509,-148.6068408,-25.5679747263591,47.7794284569832
"176","Hille-03",3,181,"Restored","",NA,-7.502151,-90.189489,-0.0075,-0.090189489,-0.0191,-0.147666667,-0.01355,-0.10475,"Stettler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.5679747263591,NA
"177","Hille-03",4,182,"Restored","","2015-06-25",-6.523115,-88.412935,-0.00652,-0.088412935,-0.0191,-0.147666667,-0.01355,-0.10475,"Stettler",0.637193548,287.5241935,1.342739871,0.000505736,-0.047912702,-0.006782856,-0.087898616,-0.018392938,-0.148949753,5.098722821,-55.16926221,-22.46226685,-169.6981348,-25.5679747263591,25.8421901116774
"178","Hille-03",5,183,"Restored","","2015-07-20",-6.226984,-83.94628,-0.00623,-0.08394628,-0.0191,-0.147666667,-0.01355,-0.10475,"Stettler",0.655967742,291.15,1.362977003,-0.000800614,-0.055038243,-0.007249357,-0.090101886,-0.016207404,-0.131405262,4.756646171,-54.31237436,-19.82897265,-148.6317812,-25.5679747263591,47.7534876468968
"179","Holt-04",1,184,"Restored","","2015-05-03",-16.056269,-139.503067,-0.01606,-0.139503067,-0.019141667,-0.147833333,-0.01355,-0.10425,"Ferintosh",0.593580645,278.2854839,0.237167076,0.004070665,-0.025754848,-0.005605076,-0.081208301,-0.044223277,-0.276166848,4.852552543,-61.57107316,-22.73940205,-171.9152164,-25.5417881011963,-55.72625727215
"180","Holt-04",2,185,"Restored","","2015-05-27",-11.696256,-118.087204,-0.0117,-0.118087204,-0.019141667,-0.147833333,-0.01355,-0.10425,"Ferintosh",0.512,283.2596774,0.444426975,0.010628266,0.001228688,-0.004264116,-0.079553807,-0.03400603,-0.218936188,4.521153352,-65.18970978,-21.61340162,-162.907213,-25.5417881011963,23.3692092250757
"181","Holt-04",3,186,"Restored","","2015-06-16",-8.852908,-102.072097,-0.00885,-0.102072097,-0.019141667,-0.147833333,-0.01355,-0.10425,"Ferintosh",0.546225806,287.2241935,0.646307729,0.007117737,-0.01843975,-0.005092457,-0.083334062,-0.027222689,-0.185195337,4.524282646,-62.03219558,-20.72441118,-155.7952894,-25.5417881011963,32.7589717900735
