"","Region","Site_ID","Site_Visit","X","SbWtrshd.x","Date","O","H","Opm","Hpm","P.18O.","P.2H.","Ps.18O.","Ps.2H.","X18O_snow","X2H_snow","X18O_rain","X2H_rain","met_station","rh","temp","EI","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","X2","per.rain","SbWtrshd.y","Y_Lat","X_Long"
"123","Parkland","182",3,200,"05FC","2014-06-25",-9.71,-90.2,-0.00971,-0.0902,-0.019025,-0.147083333,-0.0134,-0.10375,-24.93333333,-192.708,-13.4,-98.942,"Rosalind",0.675935483870968,286.272580645161,0.323553236759718,-0.00153005832461935,-0.0555377868368313,-0.00734013065675952,-0.0883631977172121,-0.0261610085672105,-0.15220592137473,3.7691258333132,-53.6017881585288,-15.0327770698828,-110.262216559062,-25.5820903778076,86.5969056274836,"05FC",52.73044689,-112.4104907
"124","Parkland","187",1,202,"05FC","2014-05-05",-10.38,-107.86,-0.01038,-0.10786,-0.019125,-0.147583333,-0.01355,-0.10425,-24.93333333,-192.708,-13.55,-100.1615,"Ferintosh",0.70758064516129,276.611290322581,0.969978671699158,-0.00291148299622056,-0.0574230664607604,-0.00777503457141549,-0.0869570222738838,-0.0278091170732151,-0.211395240052864,5.94036058269273,-46.1990571516494,-27.2858718275663,-208.28697462053,-25.5501352945964,0,"05FC",52.622538,-112.632666
"125","Parkland","187",3,204,"05FC","2014-06-10",-7.83,-96.27,-0.00783,-0.09627,-0.019125,-0.147583333,-0.01355,-0.10425,-24.93333333,-192.708,-13.55,-100.1615,"Ferintosh",0.633225806451613,285.117741935484,1.08578543765985,0.000891998446595299,-0.0444733743853272,-0.00663261324927429,-0.086376030198587,-0.0223102924374034,-0.171929446556738,5.2249943765849,-55.3582940313402,-23.5524906615887,-178.41992529271,-25.5501352945964,16.6468509226491,"05FC",52.622538,-112.632666
"126","Parkland","187",4,205,"05FC","2014-06-28",-6.78,-89.5,-0.00678,-0.0895,-0.019125,-0.147583333,-0.01355,-0.10425,-24.93333333,-192.708,-13.55,-100.1615,"Ferintosh",0.698,286.556451612903,1.5,-0.00286433094159741,-0.0611504105958302,-0.00789668316378643,-0.0900227192447297,-0.0155167439464278,-0.146018506561342,6.46905837093359,-45.6397842450702,-36.3435046697373,-280.748037357899,-25.5501352945964,0,"05FC",52.622538,-112.632666
"127","Parkland","187",5,206,"05FC","2014-08-16",-5.7,-76.55,-0.0057,-0.07655,-0.019125,-0.147583333,-0.01355,-0.10425,-24.93333333,-192.708,-13.55,-100.1615,"Ferintosh",0.809258064516129,290.666129032258,1.5,-0.00785018815871365,-0.082428792787596,-0.0100531854898259,-0.0961104184543948,0.00315434941855986,-0.0544328476851571,2.49788564572373,-62.3120518193748,-13.1425934037837,-95.1407472302693,-25.5501352945964,100,"05FC",52.622538,-112.632666
"128","Parkland","187",2,203,"05FC","2014-06-01",-8.52,-100.65,-0.00852,-0.10065,-0.019125,-0.147583333,-0.01355,-0.10425,-24.93333333,-192.708,-13.55,-100.1615,"Ferintosh",0.633096774193548,282.55,1.00203817818824,0.00105469640614138,-0.0423607952645815,-0.00653568794771464,-0.0852724691723133,-0.0244004660269376,-0.18529015425505,5.32982811156029,-55.2398644895064,-24.4328332464127,-185.462665971301,-25.5501352945964,9.31074542706845,"05FC",52.622538,-112.632666
"129","Parkland","190",2,160,"05FA","2014-05-18",-18.09,-151.91,-0.01809,-0.15191,-0.0191,-0.147666667,-0.013425,-0.10375,-25.2,-194.876,-13.425,-99.14525,"Wetaskiwin",0.631967741935484,279.656451612903,0.17973365455477,0.00143545017467759,-0.0390306904849259,-0.00631483657592801,-0.0836359692847659,-0.0502999142192799,-0.313947793291183,5.03068068384335,-60.9049864292737,-23.8792055955268,-181.033644764215,-25.6419525146484,14.4286958389014,"05FA",53.090635,-113.196353
"130","Parkland","190",3,161,"05FA","2014-06-15",-14.24,-131.8,-0.01424,-0.1318,-0.0191,-0.147666667,-0.013425,-0.10375,-25.2,-194.876,-13.425,-99.14525,"Wetaskiwin",0.64658064516129,285.743548387097,0.38477761029323,0.000159495598848353,-0.0479803607574689,-0.00681632117235664,-0.0869872407921172,-0.0395959955798213,-0.26219052622693,5.14239426397032,-58.5723056810627,-23.9964193858094,-181.971355086475,-25.6419525146484,13.4692602501811,"05FA",53.090635,-113.196353
"131","Parkland","190",4,162,"05FA","2014-06-26",-12.31,-121.77,-0.01231,-0.12177,-0.0191,-0.147666667,-0.013425,-0.10375,-25.2,-194.876,-13.425,-99.14525,"Wetaskiwin",0.679516129032258,286.446774193548,0.619719685578009,-0.001758850634417,-0.0564702762969704,-0.00745412065286231,-0.0888024999909673,-0.0338853444678205,-0.240654920445868,5.51022119823782,-53.9391770496925,-25.680665689835,-195.44532551868,-25.6419525146484,0,"05FA",53.090635,-113.196353
"132","Parkland","190",5,163,"05FA","2014-07-26",-11.92,-109.51,-0.01192,-0.10951,-0.0191,-0.147666667,-0.013425,-0.10375,-25.2,-194.876,-13.425,-99.14525,"Wetaskiwin",0.732451612903226,290.217741935484,0.403253029743095,-0.00454697807004956,-0.0692594431481094,-0.00853568212847635,-0.0923653407373763,-0.0314478832926082,-0.205845109602176,4.93320797542053,-50.7061609329872,-19.7946781022138,-148.357424817711,-25.6419525146484,47.8619721687844,"05FA",53.090635,-113.196353
